Node caption	Entailment Unit	EU_id					Node_check	Comments
								
collapsed node #1 : 4 entailment unit(s) before editing							ok	
	Reupholster seats	[427784.txt_3_0]						
	seats are shabby	[186628.txt_1_3]						
	seats needs to be repaired	[187987.txt_1_0]						
	they are looking taty	[427784.txt_5_0]						
								
collapsed node #2 : 1 entailment unit(s) before editing							ok	
	seats are quite shabby	[186628.txt_1_2]						
								
collapsed node #3 : 1 entailment unit(s) before editing							ok	
	seats in business class are quite shabby	[186628.txt_1_0]						
								
collapsed node #4 : 1 entailment unit(s) before editing							ok	
	seats in business class are shabby	[186628.txt_1_1]						
								
collapsed node #5 : 1 entailment unit(s) before editing							ok	
	Seating can be improved	[71011.txt_1_0]						
								
								
Source	#EU in src	->	Target	#EU in tgt	Decision	#FG edges	Decision_new	Comments
								
node pair #1:								
seats are quite shabby	1	->	seats are shabby	4	Yes	1	1	
seats are shabby	4	->	seats are quite shabby	1	No		0	
								
node pair #2:								
seats in business class are quite shabby	1	->	seats are shabby	4	Yes	1	1	
seats are shabby	4	->	seats in business class are quite shabby	1	No		0	
								
node pair #3:								
seats in business class are shabby	1	->	seats are shabby	4	Yes	1	1	
seats are shabby	4	->	seats in business class are shabby	1	No		0	
								
node pair #4:								
seats are shabby	4	->	Seating can be improved	1	Yes	0	1	
Seating can be improved	1	->	seats are shabby	4	No		0	
								
node pair #5:								
seats in business class are quite shabby	1	->	seats are quite shabby	1	Yes	1	1	
seats are quite shabby	1	->	seats in business class are quite shabby	1	No		0	
								
node pair #6:								
seats are quite shabby	1	->	seats in business class are shabby	1	No	-1	0	
seats in business class are shabby	1	->	seats are quite shabby	1	No	-1	0	
								
node pair #7:								
seats are quite shabby	1	->	Seating can be improved	1	No	0	1	
Seating can be improved	1	->	seats are quite shabby	1	No	0	0	
								
node pair #8:								
seats in business class are quite shabby	1	->	seats in business class are shabby	1	Yes	1	1	
seats in business class are shabby	1	->	seats in business class are quite shabby	1	No		0	
								
node pair #9:								
seats in business class are quite shabby	1	->	Seating can be improved	1	No	0	1	
Seating can be improved	1	->	seats in business class are quite shabby	1	No	0	0	
								
node pair #10:								
seats in business class are shabby	1	->	Seating can be improved	1	No	0	1	
Seating can be improved	1	->	seats in business class are shabby	1	No	0	0	
