Node caption	Entailment Unit	EU_id					Node_check	Comments
								
collapsed node #1 : 1 entailment unit(s) before editing								
	Not much plugs to work	[445370.txt_2_0]						
								
collapsed node #2 : 1 entailment unit(s) before editing								
	charging points on train would be good	[46653.txt_8_1]						
								
collapsed node #3 : 1 entailment unit(s) before editing								
	could do with more electricity points to charge laptop	[524160.txt_2_0]						
								
collapsed node #4 : 2 entailment unit(s) before editing								
	Not much plugs	[445370.txt_2_1]						
	could do with more electricity points	[524160.txt_2_1]						
	charging points would be good	[46653.txt_8_2]						
	need power supply	[189492.txt_1_1]						
								
collapsed node #5 : 2 entailment unit(s) before editing							empty	merged with node#4
								
collapsed node #6 : 1 entailment unit(s) before editing								
	Phone charging points on train would be good	[46653.txt_8_0]						
								
collapsed node #7 : 1 entailment unit(s) before editing								
	need power supply at every seat in business	[189492.txt_1_0]						
								
collapsed node #8 : 1 entailment unit(s) before editing								
	Passageway within train too narrow for people to get through with luggage	[30.txt_2_0]						
								
collapsed node #9 : 1 entailment unit(s) before editing								
	possibility to close the lights in the morning train	[3.txt_2_0]						
								
collapsed node #10 : 1 entailment unit(s) before editing								
	possibility to close the lights in the train	[3.txt_2_1]						
								
collapsed node #11 : 1 entailment unit(s) before editing								
	possibility to close the lights	[3.txt_2_2]						
								
collapsed node #12 : 1 entailment unit(s) before editing								
	better charging for electronics	[461540.txt_7_0]						
								
collapsed node #13 : 1 entailment unit(s) before editing								
	Passageway too narrow	[30.txt_2_3]						
								
collapsed node #14 : 1 entailment unit(s) before editing								
	Passageway within train too narrow	[30.txt_2_2]						
								
collapsed node #15 : 2 entailment unit(s) before editing								
	Would be a plus if food was hot	[446012.txt_1_1]						
	Would be a plus if food was warm	[446012.txt_2_1]						
								
collapsed node #16 : 1 entailment unit(s) before editing								
	Passageway too narrow for people to get through with luggage	[30.txt_2_1]						
								
collapsed node #17 : 2 entailment unit(s) before editing								
	Would be a plus if food was hot in standard magnum	[446012.txt_1_0]						
	Would be a plus if food was warm in standard magnum	[446012.txt_2_0]						
								
collapsed node #18 : 1 entailment unit(s) before editing								
	Allocated carriages for people travelling with dogs	[8.txt_2_1]						
								
collapsed node #19 : 1 entailment unit(s) before editing								
	more organization in the lounge areas	[9.txt_1_0]						
								
collapsed node #20 : 1 entailment unit(s) before editing								
	have kid - friendly coaches	[440663.txt_10_0]						
								
collapsed node #21 : 1 entailment unit(s) before editing								
	Not much tables	[445370.txt_3_1]						
								
collapsed node #22 : 1 entailment unit(s) before editing								
	Not much tables to work	[445370.txt_3_0]						
								
collapsed node #23 : 1 entailment unit(s) before editing								
	More child friendly	[472607.txt_1_0]						
								
collapsed node #24 : 1 entailment unit(s) before editing								
	timetable is not always accurate	[305036.txt_4_0]						
								
collapsed node #25 : 1 entailment unit(s) before editing								
	better air - conditioning would make a lot of difference	[505956.txt_3_0]						
								
collapsed node #26 : 1 entailment unit(s) before editing								
	train is often late	[305036.txt_5_1]						
								
collapsed node #27 : 1 entailment unit(s) before editing								
	train is often very late	[305036.txt_5_0]						
								
collapsed node #28 : 1 entailment unit(s) before editing								
	train is late	[305036.txt_5_3]						
								
collapsed node #29 : 1 entailment unit(s) before editing								
	No considerations for the needs of passengers with small children	[330688.txt_1_0]						
								
collapsed node #30 : 1 entailment unit(s) before editing								
	train is very late	[305036.txt_5_2]						
								
collapsed node #31 : 1 entailment unit(s) before editing								
	Allocated carriages on certain trains for people travelling with dogs	[8.txt_2_0]						
								
								
Source	#EU in src	->	Target	#EU in tgt	Decision	#FG edges	Decision_new	Comments
								
node pair #1:								
Not much plugs to work	1	->	charging points on train would be good	1	Yes	0	0	"""not much"" means there are some plugs"
charging points on train would be good	1	->	Not much plugs to work	1	Yes	0	0	
								
node pair #2:								
Not much plugs to work	1	->	could do with more electricity points to charge laptop	1	Yes	0	0	
could do with more electricity points to charge laptop	1	->	Not much plugs to work	1	Yes	0	1	
								
node pair #3:								
Not much plugs to work	1	->	Not much plugs	2	Yes	1	1	
Not much plugs	2	->	Not much plugs to work	1	No	-1	0	
								
node pair #5:								
Phone charging points on train would be good	1	->	Not much plugs to work	1	Yes	0	0	
Not much plugs to work	1	->	Phone charging points on train would be good	1	No	0	0	
								
node pair #6:								
need power supply at every seat in business	1	->	Not much plugs to work	1	Yes	0	0	"""to work"" is not entailed"
Not much plugs to work	1	->	need power supply at every seat in business	1	No	0	0	
								
node pair #7:								
Not much plugs to work	1	->	Passageway within train too narrow for people to get through with luggage	1	No	0	0	
Passageway within train too narrow for people to get through with luggage	1	->	Not much plugs to work	1	No	0	0	
								
node pair #8:								
Not much plugs to work	1	->	possibility to close the lights in the morning train	1	No	0	0	
possibility to close the lights in the morning train	1	->	Not much plugs to work	1	No	0	0	
								
node pair #9:								
Not much plugs to work	1	->	possibility to close the lights in the train	1	No	0	0	
possibility to close the lights in the train	1	->	Not much plugs to work	1	No	0	0	
								
node pair #10:								
Not much plugs to work	1	->	possibility to close the lights	1	No	0	0	
possibility to close the lights	1	->	Not much plugs to work	1	No	0	0	
								
node pair #11:								
Not much plugs to work	1	->	better charging for electronics	1	Yes	0	1	
better charging for electronics	1	->	Not much plugs to work	1	No	0	0	electronics might be not for work
								
node pair #12:								
Not much plugs to work	1	->	Passageway too narrow	1	No	0	0	
Passageway too narrow	1	->	Not much plugs to work	1	No	0	0	
								
node pair #13:								
Not much plugs to work	1	->	Passageway within train too narrow	1	No	0	0	
Passageway within train too narrow	1	->	Not much plugs to work	1	No	0	0	
								
node pair #14:								
Not much plugs to work	1	->	Would be a plus if food was hot	2	No	0	0	
Would be a plus if food was hot	2	->	Not much plugs to work	1	No	0	0	
								
node pair #15:								
Not much plugs to work	1	->	Passageway too narrow for people to get through with luggage	1	No	0	0	
Passageway too narrow for people to get through with luggage	1	->	Not much plugs to work	1	No	0	0	
								
node pair #16:								
Not much plugs to work	1	->	Would be a plus if food was hot in standard magnum	2	No	0	0	
Would be a plus if food was hot in standard magnum	2	->	Not much plugs to work	1	No	0	0	
								
node pair #17:								
Not much plugs to work	1	->	Allocated carriages for people travelling with dogs	1	No	0	0	
Allocated carriages for people travelling with dogs	1	->	Not much plugs to work	1	No	0	0	
								
node pair #18:								
Not much plugs to work	1	->	more organization in the lounge areas	1	No	0	0	
more organization in the lounge areas	1	->	Not much plugs to work	1	No	0	0	
								
node pair #19:								
Not much plugs to work	1	->	have kid - friendly coaches	1	No	0	0	
have kid - friendly coaches	1	->	Not much plugs to work	1	No	0	0	
								
node pair #20:								
Not much plugs to work	1	->	Not much tables	1	No	0	0	
Not much tables	1	->	Not much plugs to work	1	No	0	0	
								
node pair #21:								
Not much plugs to work	1	->	Not much tables to work	1	No	0	0	
Not much tables to work	1	->	Not much plugs to work	1	No	0	0	
								
node pair #22:								
Not much plugs to work	1	->	More child friendly	1	No	0	0	
More child friendly	1	->	Not much plugs to work	1	No	0	0	
								
node pair #23:								
Not much plugs to work	1	->	timetable is not always accurate	1	No	0	0	
timetable is not always accurate	1	->	Not much plugs to work	1	No	0	0	
								
node pair #24:								
Not much plugs to work	1	->	better air - conditioning would make a lot of difference	1	No	0	0	
better air - conditioning would make a lot of difference	1	->	Not much plugs to work	1	No	0	0	
								
node pair #25:								
Not much plugs to work	1	->	train is often late	1	No	0	0	
train is often late	1	->	Not much plugs to work	1	No	0	0	
								
node pair #26:								
Not much plugs to work	1	->	train is often very late	1	No	0	0	
train is often very late	1	->	Not much plugs to work	1	No	0	0	
								
node pair #27:								
Not much plugs to work	1	->	train is late	1	No	0	0	
train is late	1	->	Not much plugs to work	1	No	0	0	
								
node pair #28:								
Not much plugs to work	1	->	No considerations for the needs of passengers with small children	1	No	0	0	
No considerations for the needs of passengers with small children	1	->	Not much plugs to work	1	No	0	0	
								
node pair #29:								
Not much plugs to work	1	->	train is very late	1	No	0	0	
train is very late	1	->	Not much plugs to work	1	No	0	0	
								
node pair #30:								
Not much plugs to work	1	->	Allocated carriages on certain trains for people travelling with dogs	1	No	0	0	
Allocated carriages on certain trains for people travelling with dogs	1	->	Not much plugs to work	1	No	0	0	
								
node pair #31:								
charging points on train would be good	1	->	could do with more electricity points to charge laptop	1	Yes	0	0	maybe not for laptop
could do with more electricity points to charge laptop	1	->	charging points on train would be good	1	Yes	0	0	maybe not on train
								
node pair #32:								
charging points on train would be good	1	->	Not much plugs	2	Yes	0	1	"CHANGED no charging points does not entail ""there are some charging points"""
Not much plugs	2	->	charging points on train would be good	1	No	0	0	
								
node pair #34:								
Phone charging points on train would be good	1	->	charging points on train would be good	1	Yes	1	1	
charging points on train would be good	1	->	Phone charging points on train would be good	1	No	-1	0	
								
node pair #35:								
need power supply at every seat in business	1	->	charging points on train would be good	1	Yes	0	1	
charging points on train would be good	1	->	need power supply at every seat in business	1	No	0	0	
								
node pair #36:								
charging points on train would be good	1	->	Passageway within train too narrow for people to get through with luggage	1	No	0	0	
Passageway within train too narrow for people to get through with luggage	1	->	charging points on train would be good	1	No	0	0	
								
node pair #37:								
charging points on train would be good	1	->	possibility to close the lights in the morning train	1	No	0	0	
possibility to close the lights in the morning train	1	->	charging points on train would be good	1	No	0	0	
								
node pair #38:								
charging points on train would be good	1	->	possibility to close the lights in the train	1	No	0	0	
possibility to close the lights in the train	1	->	charging points on train would be good	1	No	0	0	
								
node pair #39:								
charging points on train would be good	1	->	possibility to close the lights	1	No	0	0	
possibility to close the lights	1	->	charging points on train would be good	1	No	0	0	
								
node pair #40:								
charging points on train would be good	1	->	better charging for electronics	1	Yes	0	1	
better charging for electronics	1	->	charging points on train would be good	1	No	0	0	
								
node pair #41:								
charging points on train would be good	1	->	Passageway too narrow	1	No	0	0	
Passageway too narrow	1	->	charging points on train would be good	1	No	0	0	
								
node pair #42:								
charging points on train would be good	1	->	Passageway within train too narrow	1	No	0	0	
Passageway within train too narrow	1	->	charging points on train would be good	1	No	0	0	
								
node pair #43:								
charging points on train would be good	1	->	Would be a plus if food was hot	2	No	0	0	
Would be a plus if food was hot	2	->	charging points on train would be good	1	No	0	0	
								
node pair #44:								
charging points on train would be good	1	->	Passageway too narrow for people to get through with luggage	1	No	0	0	
Passageway too narrow for people to get through with luggage	1	->	charging points on train would be good	1	No	0	0	
								
node pair #45:								
charging points on train would be good	1	->	Would be a plus if food was hot in standard magnum	2	No	0	0	
Would be a plus if food was hot in standard magnum	2	->	charging points on train would be good	1	No	0	0	
								
node pair #46:								
charging points on train would be good	1	->	Allocated carriages for people travelling with dogs	1	No	0	0	
Allocated carriages for people travelling with dogs	1	->	charging points on train would be good	1	No	0	0	
								
node pair #47:								
charging points on train would be good	1	->	more organization in the lounge areas	1	No	0	0	
more organization in the lounge areas	1	->	charging points on train would be good	1	No	0	0	
								
node pair #48:								
charging points on train would be good	1	->	have kid - friendly coaches	1	No	0	0	
have kid - friendly coaches	1	->	charging points on train would be good	1	No	0	0	
								
node pair #49:								
charging points on train would be good	1	->	Not much tables	1	No	0	0	
Not much tables	1	->	charging points on train would be good	1	No	0	0	
								
node pair #50:								
charging points on train would be good	1	->	Not much tables to work	1	No	0	0	
Not much tables to work	1	->	charging points on train would be good	1	No	0	0	
								
node pair #51:								
charging points on train would be good	1	->	More child friendly	1	No	0	0	
More child friendly	1	->	charging points on train would be good	1	No	0	0	
								
node pair #52:								
charging points on train would be good	1	->	timetable is not always accurate	1	No	0	0	
timetable is not always accurate	1	->	charging points on train would be good	1	No	0	0	
								
node pair #53:								
charging points on train would be good	1	->	better air - conditioning would make a lot of difference	1	No	0	0	
better air - conditioning would make a lot of difference	1	->	charging points on train would be good	1	No	0	0	
								
node pair #54:								
charging points on train would be good	1	->	train is often late	1	No	0	0	
train is often late	1	->	charging points on train would be good	1	No	0	0	
								
node pair #55:								
charging points on train would be good	1	->	train is often very late	1	No	0	0	
train is often very late	1	->	charging points on train would be good	1	No	0	0	
								
node pair #56:								
charging points on train would be good	1	->	train is late	1	No	0	0	
train is late	1	->	charging points on train would be good	1	No	0	0	
								
node pair #57:								
charging points on train would be good	1	->	No considerations for the needs of passengers with small children	1	No	0	0	
No considerations for the needs of passengers with small children	1	->	charging points on train would be good	1	No	0	0	
								
node pair #58:								
charging points on train would be good	1	->	train is very late	1	No	0	0	
train is very late	1	->	charging points on train would be good	1	No	0	0	
								
node pair #59:								
charging points on train would be good	1	->	Allocated carriages on certain trains for people travelling with dogs	1	No	0	0	
Allocated carriages on certain trains for people travelling with dogs	1	->	charging points on train would be good	1	No	0	0	
								
node pair #60:								
could do with more electricity points to charge laptop	1	->	Not much plugs	2	Yes	1	1	
Not much plugs	2	->	could do with more electricity points to charge laptop	1	No	-1	0	
								
node pair #62:								
Phone charging points on train would be good	1	->	could do with more electricity points to charge laptop	1	Yes	0	0	
could do with more electricity points to charge laptop	1	->	Phone charging points on train would be good	1	No	0	0	
								
node pair #63:								
need power supply at every seat in business	1	->	could do with more electricity points to charge laptop	1	Yes	0	0	
could do with more electricity points to charge laptop	1	->	need power supply at every seat in business	1	No	0	0	
								
node pair #64:								
could do with more electricity points to charge laptop	1	->	Passageway within train too narrow for people to get through with luggage	1	No	0	0	
Passageway within train too narrow for people to get through with luggage	1	->	could do with more electricity points to charge laptop	1	No	0	0	
								
node pair #65:								
could do with more electricity points to charge laptop	1	->	possibility to close the lights in the morning train	1	No	0	0	
possibility to close the lights in the morning train	1	->	could do with more electricity points to charge laptop	1	No	0	0	
								
node pair #66:								
could do with more electricity points to charge laptop	1	->	possibility to close the lights in the train	1	No	0	0	
possibility to close the lights in the train	1	->	could do with more electricity points to charge laptop	1	No	0	0	
								
node pair #67:								
could do with more electricity points to charge laptop	1	->	possibility to close the lights	1	No	0	0	
possibility to close the lights	1	->	could do with more electricity points to charge laptop	1	No	0	0	
								
node pair #68:								
could do with more electricity points to charge laptop	1	->	better charging for electronics	1	Yes	0	1	
better charging for electronics	1	->	could do with more electricity points to charge laptop	1	No	0	0	
								
node pair #69:								
could do with more electricity points to charge laptop	1	->	Passageway too narrow	1	No	0	0	
Passageway too narrow	1	->	could do with more electricity points to charge laptop	1	No	0	0	
								
node pair #70:								
could do with more electricity points to charge laptop	1	->	Passageway within train too narrow	1	No	0	0	
Passageway within train too narrow	1	->	could do with more electricity points to charge laptop	1	No	0	0	
								
node pair #71:								
could do with more electricity points to charge laptop	1	->	Would be a plus if food was hot	2	No	0	0	
Would be a plus if food was hot	2	->	could do with more electricity points to charge laptop	1	No	0	0	
								
node pair #72:								
could do with more electricity points to charge laptop	1	->	Passageway too narrow for people to get through with luggage	1	No	0	0	
Passageway too narrow for people to get through with luggage	1	->	could do with more electricity points to charge laptop	1	No	0	0	
								
node pair #73:								
could do with more electricity points to charge laptop	1	->	Would be a plus if food was hot in standard magnum	2	No	0	0	
Would be a plus if food was hot in standard magnum	2	->	could do with more electricity points to charge laptop	1	No	0	0	
								
node pair #74:								
could do with more electricity points to charge laptop	1	->	Allocated carriages for people travelling with dogs	1	No	0	0	
Allocated carriages for people travelling with dogs	1	->	could do with more electricity points to charge laptop	1	No	0	0	
								
node pair #75:								
could do with more electricity points to charge laptop	1	->	more organization in the lounge areas	1	No	0	0	
more organization in the lounge areas	1	->	could do with more electricity points to charge laptop	1	No	0	0	
								
node pair #76:								
could do with more electricity points to charge laptop	1	->	have kid - friendly coaches	1	No	0	0	
have kid - friendly coaches	1	->	could do with more electricity points to charge laptop	1	No	0	0	
								
node pair #77:								
could do with more electricity points to charge laptop	1	->	Not much tables	1	No	0	0	
Not much tables	1	->	could do with more electricity points to charge laptop	1	No	0	0	
								
node pair #78:								
could do with more electricity points to charge laptop	1	->	Not much tables to work	1	No	0	0	
Not much tables to work	1	->	could do with more electricity points to charge laptop	1	No	0	0	
								
node pair #79:								
could do with more electricity points to charge laptop	1	->	More child friendly	1	No	0	0	
More child friendly	1	->	could do with more electricity points to charge laptop	1	No	0	0	
								
node pair #80:								
could do with more electricity points to charge laptop	1	->	timetable is not always accurate	1	No	0	0	
timetable is not always accurate	1	->	could do with more electricity points to charge laptop	1	No	0	0	
								
node pair #81:								
could do with more electricity points to charge laptop	1	->	better air - conditioning would make a lot of difference	1	No	0	0	
better air - conditioning would make a lot of difference	1	->	could do with more electricity points to charge laptop	1	No	0	0	
								
node pair #82:								
could do with more electricity points to charge laptop	1	->	train is often late	1	No	0	0	
train is often late	1	->	could do with more electricity points to charge laptop	1	No	0	0	
								
node pair #83:								
could do with more electricity points to charge laptop	1	->	train is often very late	1	No	0	0	
train is often very late	1	->	could do with more electricity points to charge laptop	1	No	0	0	
								
node pair #84:								
could do with more electricity points to charge laptop	1	->	train is late	1	No	0	0	
train is late	1	->	could do with more electricity points to charge laptop	1	No	0	0	
								
node pair #85:								
could do with more electricity points to charge laptop	1	->	No considerations for the needs of passengers with small children	1	No	0	0	
No considerations for the needs of passengers with small children	1	->	could do with more electricity points to charge laptop	1	No	0	0	
								
node pair #86:								
could do with more electricity points to charge laptop	1	->	train is very late	1	No	0	0	
train is very late	1	->	could do with more electricity points to charge laptop	1	No	0	0	
								
node pair #87:								
could do with more electricity points to charge laptop	1	->	Allocated carriages on certain trains for people travelling with dogs	1	No	0	0	
Allocated carriages on certain trains for people travelling with dogs	1	->	could do with more electricity points to charge laptop	1	No	0	0	
								
node pair #89:								
Phone charging points on train would be good	1	->	Not much plugs	2	Yes	0	1	"CHANGED: no does not entails ""there are some"""
Not much plugs	2	->	Phone charging points on train would be good	1	No	0	0	
								
node pair #90:								
need power supply at every seat in business	1	->	Not much plugs	2	Yes	0	1	"need at every seat suggests there are plugs at some seats, but that's not enough"
Not much plugs	2	->	need power supply at every seat in business	1	No	0	0	
								
node pair #91:								
Not much plugs	2	->	Passageway within train too narrow for people to get through with luggage	1	No	0	0	
Passageway within train too narrow for people to get through with luggage	1	->	Not much plugs	2	No	0	0	
								
node pair #92:								
Not much plugs	2	->	possibility to close the lights in the morning train	1	No	0	0	
possibility to close the lights in the morning train	1	->	Not much plugs	2	No	0	0	
								
node pair #93:								
Not much plugs	2	->	possibility to close the lights in the train	1	No	0	0	
